[08:50:37] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:51:12] [BF] ENSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] EPICUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] EPTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ERAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ESPORTSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ETCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ETHFIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ETHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ETHWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FARTCOINUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FETUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FHEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FIDAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FILUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FIOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FISUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FLMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FLOWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FLUXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FORMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FORTHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FUNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] FXSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] GALAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] GASUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] GHSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GLMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GMTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GMXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GOATUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GPSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GRASSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GRIFFAINUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GRTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GTCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GUNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] GUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HAEDALUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HBARUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HEIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HFTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HIFIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HIGHUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HIPPOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HIVEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HMSTRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HOMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HOOKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HOTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HUMAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HYPERUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] HYPEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] ICNTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] ICPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] ICXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IDOLUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] ILVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IMXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] INITUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] INJUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] INUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IOSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IOTAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IOTXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] IPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:22] [BF] JASMYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] JELLYJELLYUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] JOEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] JSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] JTOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] JUPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:23] [BF] KAIAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
