symbol,timeframe,rows,first_ts,last_ts,first_iso,last_iso,expected,coverage,fresh,ok,status
ANIMEUSDT,5m,60579,1737651600000,1755267600000,,,105120,0.5763,1,0,LOW_COVERAGE
ANKRUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ANKRUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ANKRUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ANKRUSDT,5m,106314,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
APEUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
APEUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
APEUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
APEUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
API3USDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
API3USDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
API3USDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
API3USDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
APTUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
APTUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
APTUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
APTUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ARBUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ARBUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ARBUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ARBUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ARCUSDT,15m,20786,1737118800000,1755267300000,,,35040,0.5932,1,0,LOW_COVERAGE
ARCUSDT,1h,5398,1737118800000,1755266400000,,,8760,0.6162,1,0,LOW_COVERAGE
ARCUSDT,30m,10494,1737118800000,1755266400000,,,17520,0.599,1,0,LOW_COVERAGE
ARCUSDT,5m,62354,1737118800000,1755267600000,,,105120,0.5932,1,0,LOW_COVERAGE
ARKMUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ARKMUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ARKMUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ARKMUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ARKUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ARKUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ARKUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ARKUSDT,5m,106314,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ARPAUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ARPAUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ARPAUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ARPAUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ARUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ARUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ARUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ARUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ASRUSDT,15m,18578,1746523800000,1755267300000,,,35040,0.5302,1,0,LOW_COVERAGE
ASRUSDT,1h,4851,1746522000000,1755266400000,,,8760,0.5538,1,0,LOW_COVERAGE
ASRUSDT,30m,8896,1746523800000,1755266400000,,,17520,0.5078,1,0,LOW_COVERAGE
ASRUSDT,5m,57329,1746523800000,1755267600000,,,105120,0.5454,1,0,LOW_COVERAGE
ASTRUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ASTRUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ASTRUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ASTRUSDT,5m,106315,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ATAUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ATAUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ATAUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ATAUSDT,5m,106314,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ATHUSDT,15m,21840,1743608700000,1755267300000,,,35040,0.6233,1,0,LOW_COVERAGE
ATHUSDT,1h,5667,1743606000000,1755266400000,,,8760,0.6469,1,0,LOW_COVERAGE
ATHUSDT,30m,10519,1743607800000,1755266400000,,,17520,0.6004,1,0,LOW_COVERAGE
ATHUSDT,5m,67274,1743608700000,1755267600000,,,105120,0.64,1,0,LOW_COVERAGE
ATOMUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ATOMUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ATOMUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ATOMUSDT,5m,106314,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
AUCTIONUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AUCTIONUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AUCTIONUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
AUCTIONUSDT,5m,106313,1723725900000,1755267600000,,,105120,1.0113,1,1,OK
AUSDT,15m,8230,1748419200000,1755267300000,,,35040,0.2349,1,0,LOW_COVERAGE
AUSDT,1h,2259,1748419200000,1755266400000,,,8760,0.2579,1,0,LOW_COVERAGE
AUSDT,30m,4216,1748419200000,1755266400000,,,17520,0.2406,1,0,LOW_COVERAGE
AUSDT,5m,24688,1748419200000,1755267900000,,,105120,0.2349,1,0,LOW_COVERAGE
AVAAIUSDT,15m,20785,1737119700000,1755267300000,,,35040,0.5932,1,0,LOW_COVERAGE
