表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
LDOUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LISTAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LRCUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LEVERUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LEVERUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LINKUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LEVERUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LSKUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LINKUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LINKUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LTCUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LISTAUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LPTUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LISTAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LISTAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LISTAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LQTYUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LISTAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LUMIAUSDT_5m,2024-12-18,2025-08-15,241,365,66.0,❌,70433
LUMIAUSDT_15m,2024-12-18,2025-08-15,241,365,66.0,❌,23479
LUMIAUSDT_30m,2024-12-18,2025-08-15,241,365,66.0,❌,11840
LUMIAUSDT_1h,2024-12-18,2025-08-15,241,365,66.0,❌,6070
LUMIAUSDT_2h,2024-12-18,2025-08-15,241,365,66.0,❌,2936
LUMIAUSDT_4h,2024-12-18,2025-08-15,241,365,66.0,❌,1453
LUMIAUSDT_1d,2024-12-18,2025-08-14,240,365,65.8,❌,303
LUNA2USDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LPTUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LRCUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LPTUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LQTYUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LSKUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LPTUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LPTUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LPTUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LTCUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
MAGICUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LQTYUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LQTYUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LQTYUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LRCUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LQTYUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
MANAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LSKUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LRCUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LTCUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
LSKUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LRCUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LRCUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LRCUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
LSKUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
MANTAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LTCUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
LSKUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LSKUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
MASKUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105721
LUNA2USDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LTCUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LTCUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LTCUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
MAVIAUSDT_5m,2025-03-26,2025-08-15,142,365,38.9,❌,44343
MAVIAUSDT_15m,2025-03-26,2025-08-15,142,365,38.9,❌,14449
MAVIAUSDT_30m,2025-03-26,2025-08-15,142,365,38.9,❌,9325
MAVIAUSDT_1h,2025-03-26,2025-08-15,142,365,38.9,❌,3912
MAVIAUSDT_2h,2025-03-26,2025-08-15,142,365,38.9,❌,1757
MAVIAUSDT_4h,2025-03-26,2025-08-15,142,365,38.9,❌,2243
MAVIAUSDT_1d,2025-03-26,2025-08-14,142,365,38.9,❌,365
MAVUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105722
LUNA2USDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
MAGICUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LUNA2USDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
MANAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
LUNA2USDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
LUNA2USDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
LUNA2USDT_1d,2024-08-16,2025-08-13,363,365,99.5,✅,366
MBOXUSDT_5m,2024-08-28,2025-08-15,353,365,96.7,❌,104932
MBOXUSDT_15m,2024-08-28,2025-08-15,353,365,96.7,❌,34639
MBOXUSDT_30m,2024-08-28,2025-08-15,353,365,96.7,❌,16998
MAGICUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
MBOXUSDT_1h,2024-08-28,2025-08-15,353,365,96.7,❌,8499
MAGICUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8806
MANTAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
MANAUSDT_30m,2024-08-15,2025-08-15,365,365,100.0,✅,17614
MBOXUSDT_2h,2024-08-28,2025-08-15,353,365,96.7,❌,4250
MASKUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35241
MAGICUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
MBOXUSDT_4h,2024-08-28,2025-08-15,353,365,96.7,❌,2125
MBOXUSDT_1d,2024-08-28,2025-08-14,352,365,96.4,❌,365
MELANIAUSDT_5m,2025-01-20,2025-08-15,208,365,57.0,❌,60954
MAGICUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
MELANIAUSDT_15m,2025-01-20,2025-08-15,208,365,57.0,❌,20319
MELANIAUSDT_30m,2025-01-20,2025-08-15,208,365,57.0,❌,10260
MELANIAUSDT_1h,2025-01-20,2025-08-15,208,365,57.0,❌,5280
MELANIAUSDT_2h,2025-01-20,2025-08-15,208,365,57.0,❌,2541
MAGICUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
MELANIAUSDT_4h,2025-01-20,2025-08-15,208,365,57.0,❌,1257
MEMEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,106413
