[08:43:51] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:43:51] [INFO] ROOT=D:\quant_system_pro (3)\quant_system_pro
[08:43:51] [INFO] DB  =D:\quant_system_v2\data\market_data.db
[08:46:26] [BF][  6.2%] HUMAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.2%] HUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.3%] HYPERUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.3%] HYPEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.3%] ICNTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.4%] ICPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.4%] ICXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.4%] IDOLUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.4%] IDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.5%] ILVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.5%] IMXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.5%] INITUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.6%] INJUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.6%] INUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.6%] IOSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.7%] IOTAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.7%] IOTXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.7%] IOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.7%] IPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.8%] JASMYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.8%] JELLYJELLYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.8%] JOEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.9%] JSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.9%] JTOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.9%] JUPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  7.0%] KAIAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  7.0%] KAITOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  7.0%] KASUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  7.1%] KAVAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  7.1%] KDAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
