symbol,tf,rows,last_ts,stale_min,gaps,status
ARKUSDT,1h,8775,1755313200000,37.5,0,STALE
ARKUSDT,2h,4387,1755309600000,97.5,0,STALE
ARKUSDT,4h,2193,1755302400000,217.5,0,STALE
ARKUSDT,1d,366,1755302400000,217.5,0,STALE
ARPAUSDT,5m,105321,1755315300000,2.5,0,OK
ARPAUSDT,15m,35107,1755315000000,7.5,0,OK
ARPAUSDT,30m,17553,1755315000000,7.5,0,OK
ARPAUSDT,1h,8775,1755313200000,37.5,0,STALE
ARPAUSDT,2h,4387,1755309600000,97.5,0,STALE
ARPAUSDT,4h,2193,1755302400000,217.5,0,STALE
ARPAUSDT,1d,366,1755302400000,217.5,0,STALE
ARUSDT,5m,105321,1755315300000,2.5,0,OK
ARUSDT,15m,35107,1755315000000,7.5,0,OK
ARUSDT,30m,17553,1755315000000,7.5,0,OK
ARUSDT,1h,8775,1755313200000,37.5,0,STALE
ARUSDT,2h,4387,1755309600000,97.5,0,STALE
ARUSDT,4h,2193,1755302400000,217.5,0,STALE
ARUSDT,1d,366,1755302400000,217.5,0,STALE
ASRUSDT,5m,30011,1755315300000,2.5,0,OK
ASRUSDT,15m,10005,1755315000000,7.5,0,OK
ASRUSDT,30m,5003,1755315000000,7.5,1,GAPS
ASRUSDT,1h,2503,1755313200000,37.5,1,STALE
ASRUSDT,2h,1253,1755309600000,97.5,1,STALE
ASRUSDT,4h,627,1755302400000,217.5,1,STALE
ASRUSDT,1d,103,1755302400000,217.5,0,STALE
ASTRUSDT,5m,105321,1755315300000,2.5,0,OK
ASTRUSDT,15m,35107,1755315000000,7.6,0,OK
ASTRUSDT,30m,17553,1755315000000,7.6,0,OK
ASTRUSDT,1h,8775,1755313200000,37.6,0,STALE
ASTRUSDT,2h,4387,1755309600000,97.6,0,STALE
ASTRUSDT,4h,2193,1755302400000,217.6,0,STALE
ASTRUSDT,1d,366,1755302400000,217.6,0,STALE
ATAUSDT,5m,105320,1755315300000,2.6,0,OK
ATAUSDT,15m,35107,1755315000000,7.6,0,OK
ATAUSDT,30m,17553,1755315000000,7.6,0,OK
ATAUSDT,1h,8775,1755313200000,37.6,0,STALE
ATAUSDT,2h,4387,1755309600000,97.6,0,STALE
ATAUSDT,4h,2193,1755302400000,217.6,0,STALE
ATAUSDT,1d,366,1755302400000,217.6,0,STALE
ATHUSDT,5m,39728,1755315300000,2.6,0,OK
ATHUSDT,15m,13244,1755315000000,7.6,0,OK
ATHUSDT,30m,6623,1755315000000,7.6,1,GAPS
ATHUSDT,1h,3313,1755313200000,37.6,1,STALE
ATHUSDT,2h,1658,1755309600000,97.6,1,STALE
ATHUSDT,4h,830,1755302400000,217.6,1,STALE
ATHUSDT,1d,137,1755302400000,217.6,0,STALE
ATOMUSDT,5m,105320,1755315300000,2.6,0,OK
ATOMUSDT,15m,35107,1755315000000,7.6,0,OK
ATOMUSDT,30m,17553,1755315000000,7.6,0,OK
ATOMUSDT,1h,8775,1755313200000,37.6,0,STALE
ATOMUSDT,2h,4387,1755309600000,97.6,0,STALE
ATOMUSDT,4h,2193,1755302400000,217.6,0,STALE
ATOMUSDT,1d,366,1755302400000,217.6,0,STALE
AUCTIONUSDT,5m,105319,1755315300000,2.6,0,OK
AUCTIONUSDT,15m,35107,1755315000000,7.6,0,OK
AUCTIONUSDT,30m,17553,1755315000000,7.6,0,OK
AUCTIONUSDT,1h,8775,1755313200000,37.6,0,STALE
AUCTIONUSDT,2h,4387,1755309600000,97.6,0,STALE
AUCTIONUSDT,4h,2193,1755302400000,217.6,0,STALE
AUCTIONUSDT,1d,366,1755302400000,217.6,0,STALE
